year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,year_month,year_month_key,delayed_rate,cancellation_rate,avg_delay_min_per_delayed_flight,carrier_cause_share_ct,weather_cause_share_ct,nas_cause_share_ct,security_cause_share_ct,late_aircraft_cause_share_ct,carrier_cause_share_min,weather_cause_share_min,nas_cause_share_min,security_cause_share_min,late_aircraft_cause_share_min,cause_counts_exceed_delayed_flag
2020,12,OO,SkyWest Airlines Inc.,PIR,"Pierre, SD: Pierre Regional",53.0,9.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,380.0,231.0,0.0,0.0,0.0,149.0,2020-12-01,2020-12,0.16981132075471697,0.0,42.22222222222222,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6078947368421053,0.0,0.0,0.0,0.39210526315789473,False
2019,12,YX,Republic Airline,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",143.0,30.0,8.13,0.3,9.88,0.0,11.69,4.0,1.0,2893.0,568.0,47.0,674.0,0.0,1604.0,2019-12-01,2019-12,0.2097902097902098,0.02702702702702703,96.43333333333334,0.271,0.01,0.32933333333333337,0.0,0.38966666666666666,0.19633598340822675,0.016246111303145523,0.23297614932595923,0.0,0.5544417559626685,False
2019,12,OO,SkyWest Airlines Inc.,MOT,"Minot, ND: Minot International",167.0,24.0,7.32,2.54,5.89,0.0,8.25,1.0,2.0,2653.0,629.0,1329.0,162.0,0.0,533.0,2019-12-01,2019-12,0.1437125748502994,0.0058823529411764705,110.54166666666667,0.305,0.10583333333333333,0.24541666666666664,0.0,0.34375,0.23709008669430834,0.5009423294383717,0.061062947606483224,0.0,0.2009046362608368,False
2020,12,UA,United Air Lines Inc.,DSM,"Des Moines, IA: Des Moines International",30.0,10.0,3.36,0.64,4.63,0.0,1.38,0.0,0.0,1130.0,153.0,448.0,195.0,0.0,334.0,2020-12-01,2020-12,0.3333333333333333,0.0,113.0,0.33599999999999997,0.064,0.46299999999999997,0.0,0.13799999999999998,0.13539823008849558,0.39646017699115044,0.17256637168141592,0.0,0.29557522123893804,True
2019,12,DL,Delta Air Lines Inc.,CHA,"Chattanooga, TN: Lovell Field",70.0,6.0,3.7,0.0,1.43,0.0,0.87,0.0,0.0,118.0,67.0,0.0,37.0,0.0,14.0,2019-12-01,2019-12,0.08571428571428572,0.0,19.666666666666668,0.6166666666666667,0.0,0.2383333333333333,0.0,0.145,0.5677966101694916,0.0,0.3135593220338983,0.0,0.11864406779661017,False
2020,12,NK,Spirit Air Lines,CAK,"Akron, OH: Akron-Canton Regional",42.0,4.0,1.0,0.0,1.19,0.0,1.81,1.0,0.0,239.0,74.0,0.0,46.0,0.0,119.0,2020-12-01,2020-12,0.09523809523809523,0.023255813953488372,59.75,0.25,0.0,0.2975,0.0,0.4525,0.30962343096234307,0.0,0.19246861924686193,0.0,0.497907949790795,False
2019,12,OH,PSA Airlines Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",123.0,21.0,7.72,0.65,6.96,0.0,5.67,1.0,0.0,1055.0,481.0,26.0,251.0,0.0,297.0,2019-12-01,2019-12,0.17073170731707318,0.008064516129032258,50.23809523809524,0.3676190476190476,0.030952380952380953,0.3314285714285714,0.0,0.27,0.45592417061611373,0.024644549763033177,0.23791469194312795,0.0,0.28151658767772514,False
2020,12,YX,Republic Airline,SLC,"Salt Lake City, UT: Salt Lake City International",13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,2020-12-01,2020-12,0.07692307692307693,0.07142857142857142,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2020,12,OH,PSA Airlines Inc.,ROC,"Rochester, NY: Greater Rochester International",91.0,10.0,3.8,0.0,4.75,0.0,1.45,0.0,0.0,439.0,237.0,0.0,100.0,0.0,102.0,2020-12-01,2020-12,0.10989010989010989,0.0,43.9,0.38,0.0,0.475,0.0,0.145,0.5398633257403189,0.0,0.22779043280182232,0.0,0.23234624145785876,False
2019,12,UA,United Air Lines Inc.,FCA,"Kalispell, MT: Glacier Park International",30.0,8.0,2.9,0.0,1.91,0.0,3.19,0.0,0.0,542.0,104.0,0.0,59.0,0.0,379.0,2019-12-01,2019-12,0.26666666666666666,0.0,67.75,0.3625,0.0,0.23875,0.0,0.39875,0.1918819188191882,0.0,0.1088560885608856,0.0,0.6992619926199262,False
2019,12,B6,JetBlue Airways,SJU,"San Juan, PR: Luis Munoz Marin International",954.0,334.0,154.36,2.63,72.39,0.07,104.56,2.0,0.0,23195.0,9784.0,159.0,3711.0,13.0,9528.0,2019-12-01,2019-12,0.350104821802935,0.0020920502092050207,69.44610778443113,0.4621556886227545,0.007874251497005987,0.2167365269461078,0.00020958083832335332,0.3130538922155689,0.4218150463461953,0.00685492563052382,0.15999137745203706,0.0005604656175899978,0.4107781849536538,True
2020,12,OO,SkyWest Airlines Inc.,PDX,"Portland, OR: Portland International",719.0,60.0,35.0,12.0,1.0,0.0,12.0,10.0,1.0,3438.0,1651.0,791.0,16.0,0.0,980.0,2020-12-01,2020-12,0.08344923504867872,0.0136986301369863,57.3,0.5833333333333334,0.2,0.016666666666666666,0.0,0.2,0.4802210587550902,0.23007562536358347,0.004653868528214078,0.0,0.2850494473531123,False
2019,12,DL,Delta Air Lines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",107.0,12.0,4.57,0.92,3.2,0.0,3.31,0.0,1.0,416.0,135.0,72.0,81.0,0.0,128.0,2019-12-01,2019-12,0.11214953271028037,0.0,34.666666666666664,0.38083333333333336,0.07666666666666667,0.26666666666666666,0.0,0.2758333333333333,0.3245192307692308,0.17307692307692307,0.19471153846153846,0.0,0.3076923076923077,True
2019,12,MQ,Envoy Air,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",242.0,54.0,16.58,4.25,12.16,0.0,21.01,1.0,0.0,3197.0,816.0,361.0,505.0,0.0,1515.0,2019-12-01,2019-12,0.2231404958677686,0.00411522633744856,59.2037037037037,0.307037037037037,0.0787037037037037,0.22518518518518518,0.0,0.3890740740740741,0.25523928683140445,0.11291836096340319,0.1579605880512981,0.0,0.47388176415389427,False
2019,12,OO,SkyWest Airlines Inc.,SGU,"St. George, UT: St George Regional",317.0,59.0,18.31,1.23,16.27,0.0,23.2,0.0,2.0,4123.0,1819.0,110.0,543.0,0.0,1651.0,2019-12-01,2019-12,0.1861198738170347,0.0,69.88135593220339,0.31033898305084745,0.020847457627118645,0.27576271186440676,0.0,0.3932203389830508,0.44118360417171965,0.026679602231384915,0.13170021828765463,0.0,0.4004365753092408,True
2020,12,YV,Mesa Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",24.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,218.0,46.0,22.0,150.0,0.0,0.0,2020-12-01,2020-12,0.2916666666666667,0.0,31.142857142857142,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0,0.21100917431192662,0.10091743119266056,0.6880733944954128,0.0,0.0,False
2019,12,B6,JetBlue Airways,HPN,"White Plains, NY: Westchester County",370.0,139.0,63.42,0.0,19.93,0.32,55.34,1.0,3.0,10376.0,4455.0,0.0,820.0,31.0,5070.0,2019-12-01,2019-12,0.37567567567567567,0.00267379679144385,74.64748201438849,0.4562589928057554,0.0,0.14338129496402877,0.002302158273381295,0.3981294964028777,0.4293562066306862,0.0,0.07902852737085582,0.0029876638396299153,0.48862760215882806,True
2020,12,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",591.0,55.0,25.15,0.42,23.6,0.0,5.83,1.0,0.0,3641.0,2161.0,13.0,1036.0,0.0,431.0,2020-12-01,2020-12,0.09306260575296109,0.0016891891891891893,66.2,0.4572727272727272,0.0076363636363636364,0.42909090909090913,0.0,0.106,0.5935182642131283,0.0035704476792090085,0.2845372150508102,0.0,0.11837407305685252,False
2020,12,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",619.0,94.0,34.64,1.89,47.7,0.67,9.1,11.0,0.0,4594.0,2424.0,174.0,1495.0,60.0,441.0,2020-12-01,2020-12,0.1518578352180937,0.01746031746031746,48.87234042553192,0.36851063829787234,0.020106382978723403,0.5074468085106383,0.007127659574468086,0.09680851063829787,0.5276447540269917,0.037875489769264255,0.32542446669569003,0.013060513713539399,0.09599477579451458,False
2020,12,B6,JetBlue Airways,MTJ,"Montrose/Delta, CO: Montrose Regional",6.0,1.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,98.0,0.0,96.0,2.0,0.0,0.0,2020-12-01,2020-12,0.16666666666666666,0.0,98.0,0.0,0.98,0.02,0.0,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0,0.0,False
2020,12,G4,Allegiant Air,GSP,"Greer, SC: Greenville-Spartanburg International",30.0,4.0,0.06,0.0,0.88,0.0,3.06,0.0,0.0,116.0,1.0,0.0,22.0,0.0,93.0,2020-12-01,2020-12,0.13333333333333333,0.0,29.0,0.015,0.0,0.22,0.0,0.765,0.008620689655172414,0.0,0.1896551724137931,0.0,0.8017241379310345,False
2019,12,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",61.0,29.0,16.06,0.0,7.59,0.0,5.34,0.0,0.0,1344.0,768.0,0.0,242.0,0.0,334.0,2019-12-01,2019-12,0.47540983606557374,0.0,46.3448275862069,0.5537931034482758,0.0,0.2617241379310345,0.0,0.18413793103448275,0.5714285714285714,0.0,0.1800595238095238,0.0,0.24851190476190477,False
2019,12,DL,Delta Air Lines Inc.,TYS,"Knoxville, TN: McGhee Tyson",77.0,6.0,5.53,0.0,0.47,0.0,0.0,0.0,0.0,240.0,233.0,0.0,7.0,0.0,0.0,2019-12-01,2019-12,0.07792207792207792,0.0,40.0,0.9216666666666667,0.0,0.07833333333333332,0.0,0.0,0.9708333333333333,0.0,0.029166666666666667,0.0,0.0,False
2019,12,G4,Allegiant Air,ALB,"Albany, NY: Albany International",30.0,6.0,2.78,1.0,2.19,0.0,0.03,0.0,0.0,338.0,136.0,78.0,121.0,0.0,3.0,2019-12-01,2019-12,0.2,0.0,56.333333333333336,0.4633333333333333,0.16666666666666666,0.365,0.0,0.005,0.40236686390532544,0.23076923076923078,0.35798816568047337,0.0,0.008875739644970414,False
2020,12,AA,American Airlines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-01,2020-12,0.0,0.0,,,,,,,,,,,,False
2020,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",788.0,54.0,23.92,1.39,16.93,0.0,11.76,4.0,0.0,2442.0,1106.0,110.0,537.0,0.0,689.0,2020-12-01,2020-12,0.06852791878172589,0.005050505050505051,45.22222222222222,0.442962962962963,0.025740740740740738,0.31351851851851853,0.0,0.21777777777777776,0.45290745290745293,0.04504504504504504,0.2199017199017199,0.0,0.2821457821457821,False
2020,12,MQ,Envoy Air,TOL,"Toledo, OH: Toledo Express",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-01,2020-12,0.0,0.0,,,,,,,,,,,,False
2019,12,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",1118.0,393.0,110.86,3.88,167.61,0.0,110.66,17.0,5.0,23137.0,6486.0,384.0,10029.0,0.0,6238.0,2019-12-01,2019-12,0.35152057245080504,0.014912280701754385,58.87277353689567,0.2820865139949109,0.009872773536895673,0.42648854961832067,0.0,0.2815776081424936,0.28033020702770456,0.016596793015516274,0.4334615550849289,0.0,0.2696114448718503,True
